experiment_id,instance_id,dataset,leg_id,agent_id,trial_id,task_name,trial_dir,score,status,error_type,error_phase,error_message,model,input_tokens,output_tokens,total_tokens,cost_usd,duration_sec,agent_duration_sec,env_setup_duration_sec,verifier_duration_sec,trace_id,trace_url
tb2-baseline,tb2-baseline-smoke-20260417-163011,terminal-bench@2.0,basic,basic,log-summary-date-ranges__F4Y4ypn,log-summary-date-ranges,legs/basic/harbor/tb2-baseline-smoke-20260417-163011-basic/log-summary-date-ranges__F4Y4ypn,,errored,ConnectError,agent,[Errno -2] Name or service not known,,,,,,14.144867,0.028885,3.165673,,,
tb2-baseline,tb2-baseline-smoke-20260417-163011,terminal-bench@2.0,basic,basic,regex-log__ecgo9zP,regex-log,legs/basic/harbor/tb2-baseline-smoke-20260417-163011-basic/regex-log__ecgo9zP,,errored,ConnectError,agent,[Errno -2] Name or service not known,,,,,,13.975315,0.482305,2.393804,,,
tb2-baseline,tb2-baseline-smoke-20260417-163011,terminal-bench@2.0,planner_executor,planner_executor,log-summary-date-ranges__tzYFDZz,log-summary-date-ranges,legs/planner_executor/harbor/tb2-baseline-smoke-20260417-163011-planner_executor/log-summary-date-ranges__tzYFDZz,,errored,ConnectError,agent,[Errno -2] Name or service not known,,,,,,13.761326,0.032466,2.786777,,,
tb2-baseline,tb2-baseline-smoke-20260417-163011,terminal-bench@2.0,planner_executor,planner_executor,regex-log__5CNTcj4,regex-log,legs/planner_executor/harbor/tb2-baseline-smoke-20260417-163011-planner_executor/regex-log__5CNTcj4,,errored,ConnectError,agent,[Errno -2] Name or service not known,,,,,,13.613982,0.367033,2.164789,,,
tb2-baseline,tb2-baseline-smoke-20260417-163011,terminal-bench@2.0,react,react,log-summary-date-ranges__vR2wG4c,log-summary-date-ranges,legs/react/harbor/tb2-baseline-smoke-20260417-163011-react/log-summary-date-ranges__vR2wG4c,,errored,ConnectError,agent,[Errno -2] Name or service not known,,,,,,13.618173,0.03724,2.774881,,,
tb2-baseline,tb2-baseline-smoke-20260417-163011,terminal-bench@2.0,react,react,regex-log__pQ5ZW5J,regex-log,legs/react/harbor/tb2-baseline-smoke-20260417-163011-react/regex-log__pQ5ZW5J,,errored,ConnectError,agent,[Errno -2] Name or service not known,,,,,,13.383401,0.357617,2.152582,,,
