experiment_id,instance_id,dataset,leg_id,agent_id,trial_id,task_name,trial_dir,score,status,error_type,error_phase,error_message,model,input_tokens,output_tokens,total_tokens,cost_usd,duration_sec,agent_duration_sec,env_setup_duration_sec,verifier_duration_sec,trace_id,trace_url
tb2-baseline,tb2-baseline-smoke-20260417-165126,terminal-bench@2.0,basic,basic,log-summary-date-ranges__UY8tCJw,log-summary-date-ranges,legs/basic/harbor/tb2-baseline-smoke-20260417-165126-basic/log-summary-date-ranges__UY8tCJw,1.0,passed,,,,gemini-3.1-flash-lite-preview,209369,2777,212146,0.05650775,63.088379,31.787589,4.404979,14.652692,2bf61241c6c0b6d1e9316a71107d3cee,http://10.128.0.4:3010/project/proj-openharness/traces/2bf61241c6c0b6d1e9316a71107d3cee
tb2-baseline,tb2-baseline-smoke-20260417-165126,terminal-bench@2.0,basic,basic,regex-log__PQAQqf4,regex-log,legs/basic/harbor/tb2-baseline-smoke-20260417-165126-basic/regex-log__PQAQqf4,0.0,failed,,,,gemini-3.1-flash-lite-preview,74857,2641,77498,0.02267575,74.825381,33.996887,2.328225,27.42822,45efe5b29604fe7304f28980098261e0,http://10.128.0.4:3010/project/proj-openharness/traces/45efe5b29604fe7304f28980098261e0
tb2-baseline,tb2-baseline-smoke-20260417-165126,terminal-bench@2.0,planner_executor,planner_executor,log-summary-date-ranges__J6kEX87,log-summary-date-ranges,legs/planner_executor/harbor/tb2-baseline-smoke-20260417-165126-planner_executor/log-summary-date-ranges__J6kEX87,0.0,failed,,,,gemini-3.1-flash-lite-preview,34830,1809,36639,0.011421,42.745537,12.662419,4.298924,14.733337,7469c3b5a1fb5fa7f73d220435bf0fee,http://10.128.0.4:3010/project/proj-openharness/traces/7469c3b5a1fb5fa7f73d220435bf0fee
tb2-baseline,tb2-baseline-smoke-20260417-165126,terminal-bench@2.0,planner_executor,planner_executor,regex-log__W8uM6MR,regex-log,legs/planner_executor/harbor/tb2-baseline-smoke-20260417-165126-planner_executor/regex-log__W8uM6MR,0.0,failed,,,,gemini-3.1-flash-lite-preview,125517,5701,131218,0.03993075,85.018473,45.695959,2.397319,25.820767,a4cdc420bbe5a788e83444f88d9399d5,http://10.128.0.4:3010/project/proj-openharness/traces/a4cdc420bbe5a788e83444f88d9399d5
tb2-baseline,tb2-baseline-smoke-20260417-165126,terminal-bench@2.0,react,react,log-summary-date-ranges__Tp54bHH,log-summary-date-ranges,legs/react/harbor/tb2-baseline-smoke-20260417-165126-react/log-summary-date-ranges__Tp54bHH,0.0,failed,,,,gemini-3.1-flash-lite-preview,2586257,11352,2597609,0.66359225,339.009053,311.206867,4.068086,12.696315,dcc770862e1d751f6bf34dd57f36db49,http://10.128.0.4:3010/project/proj-openharness/traces/dcc770862e1d751f6bf34dd57f36db49
tb2-baseline,tb2-baseline-smoke-20260417-165126,terminal-bench@2.0,react,react,regex-log__GssEQfK,regex-log,legs/react/harbor/tb2-baseline-smoke-20260417-165126-react/regex-log__GssEQfK,0.0,failed,,,,gemini-3.1-flash-lite-preview,15444,938,16382,0.005268,56.449898,13.435117,2.271753,29.360809,2fb1c5d8b75ff1d72f24eb5bb680d4b8,http://10.128.0.4:3010/project/proj-openharness/traces/2fb1c5d8b75ff1d72f24eb5bb680d4b8
